"Estimate Delivery Cost","Szacowany koszt dostawy"
"Destination Postcode","Kod pocztowy miejsca docelowego"
"Enter postcode to see delivery options.","Wpisz kod pocztowy, aby zobaczyć opcje dostawy."
"Check","Sprawdź"
"Calculate","Oblicz"
"Calculating...","Obliczanie..."
"Please enter a valid postcode.","Proszę podać poprawny kod pocztowy."
"Error calculating delivery.","Błąd podczas obliczania dostawy."
"An error occurred.","Wystąpił błąd."
"No delivery methods available for this quantity and location.","Brak dostępnych metod dostawy dla tej ilości i lokalizacji."
"Distance:","Dystans:"
"Estimated Duration:","Szacowany czas:"
"Departure:","Wyjazd:"
"Arrival:","Przyjazd:"
"Available Delivery Methods","Dostępne metody dostawy"
"Estimated Order Summary","Szacunkowe podsumowanie zamówienia"
"Product Cost","Koszt produktu"
"Delivery Cost","Koszt dostawy"
"Total Estimated Cost","Całkowity szacowany koszt"
"Route Details (from Main Warehouse)","Szczegóły trasy (z głównego magazynu)"
"Warehouse origin is not configured.","Adres magazynu nie jest skonfigurowany."
"Could not calculate distance. Please check the address.","Nie można obliczyć odległości. Sprawdź adres."
"Distance Calculation","Kalkulator odległości"
"Origin Address","Adres początkowy"
"Destination Address","Adres docelowy"
"Quantity (m²)","Ilość (m²)"
"Calculate Distance","Oblicz dystans"
"Find Order Address","Znajdź adres z zamówienia"
"Search Order","Szukaj zamówienia"
"Order #, Customer Name or Email","Nr zamówienia, nazwa klienta lub email"
"Search","Szukaj"
"Order #","Nr zamówienia"
"Customer","Klient"
"Address","Adres"
"Action","Akcja"
"Use","Użyj"
"No orders found.","Nie znaleziono zamówień."
"Searching...","Szukanie..."
"Shipping Costs Simulation:","Symulacja kosztów dostawy:"
"Method","Metoda"
"Price","Cena"
"API Response:","Odpowiedź API:"
"API Error Details:","Szczegóły błędu API:"
"Please enable the module in Stores > Configuration > GardenLawn > Delivery Settings.","Proszę włączyć moduł w Sklepy > Konfiguracja > GardenLawn > Ustawienia dostawy."
"-- Select an example address --","-- Wybierz przykładowy adres --"
"Example Addresses (Voivodeships)","Przykładowe adresy (Województwa)"
"Type manually, select from the dropdown above, or select from the order list on the right.","Wpisz ręcznie, wybierz z listy powyżej lub wybierz z listy zamówień po prawej."
"Module is disabled.","Moduł jest wyłączony."
"Please provide both origin and destination addresses.","Proszę podać adres początkowy i docelowy."
"Please provide destination address.","Proszę podać adres docelowy."
"Could not calculate distance.","Nie można obliczyć odległości."
"Could not calculate distance. Unknown error.","Nie można obliczyć odległości. Nieznany błąd."
"Custom Shipping","Indywidualna wycena"
"Custom Shipping (External Quotes)","Indywidualna wycena transportu (Zewnętrzne wyceny)"
"Free Shipping","Darmowa dostawa"
"Free Shipping for Selected Products","Darmowa dostawa dla wybranych produktów"
"Courier Shipping","Kurier"
"Courier Delivery","Przesyłka kurierska"
"Courier with Elevator","Kurier z windą"
"Courier Delivery with Elevator Service","Przesyłka kurierska z usługą windy"
"Distance-based Shipping","Dostawa liczona za km"
"Distance-based Delivery","Dostawa liczona za km"
"Direct Transport (No Lift)","Transport bezpośredni (Bez windy)"
"Direct Transport without Lift","Transport bezpośredni bez windy"
"Direct Transport (With Lift)","Transport bezpośredni (Z windą)"
"Direct Transport with Lift","Transport bezpośredni z windą"
"Direct Transport (With Forklift)","Transport bezpośredni (Z wózkiem widłowym)"
"Direct Transport with Forklift","Transport bezpośredni z wózkiem widłowym"
"Indywidualna wycena transportu.","Indywidualna wycena transportu."
"Darmowa dostawa dla wybranych produktów.","Darmowa dostawa dla wybranych produktów."
"Standardowa przesyłka kurierska na palecie. Rozładunek windą.","Standardowa przesyłka kurierska na palecie. Rozładunek windą."
"Dostawa kurierem z windą. Wymagany utwardzony podjazd.","Dostawa kurierem z windą. Wymagany utwardzony podjazd."
"Transport dedykowany liczony za km.","Transport dedykowany liczony za km."
"Transport bezpośredni bez windy. Wymagany rozładunek we własnym zakresie (np. wózek widłowy).","Transport bezpośredni bez windy. Wymagany rozładunek we własnym zakresie (np. wózek widłowy)."
"Transport bezpośredni samochodem z windą. Kierowca rozładowuje towar na podłoże utwardzone.","Transport bezpośredni samochodem z windą. Kierowca rozładowuje towar na podłoże utwardzone."
"Transport bezpośredni z wózkiem widłowym. Rozładunek w dowolnym miejscu na posesji.","Transport bezpośredni z wózkiem widłowym. Rozładunek w dowolnym miejscu na posesji."
"Delivery Settings","Ustawienia dostawy"
"General Configuration","Konfiguracja ogólna"
"Module Enabled","Moduł włączony"
"Warehouse Origin Address","Adres magazynu"
"API Provider","Dostawca API"
"Provider","Dostawca"
"Google Maps API Key","Klucz API Google Maps"
"HERE API Key","Klucz API HERE"
"Truck Parameters (HERE API)","Parametry ciężarówki (HERE API)"
"Height (meters)","Wysokość (metry)"
"Width (meters)","Szerokość (metry)"
"Length (meters)","Długość (metry)"
"Gross Weight (kg)","Waga brutto (kg)"
"Weight Per Axle (kg)","Nacisk na oś (kg)"
"Axle Count","Liczba osi"
"Vehicle Type","Typ pojazdu"
"Hazardous Goods","Towary niebezpieczne"
"Avoid Features","Unikaj cech"
"Delivery Methods","Metody dostawy"
"Custom Shipping (External Quotes)","Indywidualna wycena (Zewnętrzne)"
"Enabled","Włączony"
"Title","Tytuł"
"Method Name","Nazwa metody"
"Sort Order","Kolejność sortowania"
"Custom Free Shipping (by SKU)","Darmowa dostawa (wg SKU)"
"Free Shipping Product SKUs","SKU produktów z darmową dostawą"
"Courier Shipping (Price Table)","Kurier (Tabela cen)"
"Target Product SKU","Docelowe SKU produktu"
"Prices Table (JSON)","Tabela cen (JSON)"
"Price Supplement (%)","Narzut cenowy (%)"
"Courier with Elevator Shipping (Distance-based)","Kurier z windą (wg odległości)"
"Price per KM","Cena za km"
"Factor Min","Współczynnik Min"
"Factor Max","Współczynnik Max"
"Max Load (m2)","Maksymalny ładunek (m2)"
"Distance Shipping (Multi-point Route)","Dostawa odległościowa (Wielopunktowa)"
"Intermediate Points (JSON)","Punkty pośrednie (JSON)"
"Base KM","Bazowe KM"
"Max Quantity (m2)","Maksymalna ilość (m2)"
"Pricing Configuration (JSON)","Konfiguracja cen (JSON)"
"Specific Origin Address","Specyficzny adres początkowy"
"Leave empty to use default Warehouse Origin. Default: ul. Piaskowa 21, Turowo 78-400 Szczecinek, Polska","Zostaw puste, aby użyć domyślnego magazynu. Domyślnie: ul. Piaskowa 21, Turowo 78-400 Szczecinek, Polska"
"Estimate Delivery & Total Cost","Oszacuj koszt dostawy i całkowity koszt"
"Enter your postcode to see available delivery methods and total cost.","Wpisz kod pocztowy, aby zobaczyć dostępne metody dostawy i całkowity koszt."
"Quantity changed. Please click Calculate to update delivery costs.","Ilość uległa zmianie. Kliknij Oblicz, aby zaktualizować koszty dostawy."
